기업명,채용 직무/분야,주요 업무,지원 자격 및 우대사항,근무 조건,모집 기간,지원 방법,기타 사항,합격자소서
퀴네앤드나겔,물류 운영 및 관리,"국제 물류 운송 서비스 제공, 해운 및 항공 화물 운송, 창고 운영 및 관리","지원 자격: 관련 분야 경력자 우대, 영어 능통자, 물류 및 SCM 관련 전공자 우대","정규직, 근무지: 서울 영등포구 의사당대로 82",상시 채용,잡코리아를 통한 온라인 지원,"서류전형 결과는 1개월 이내 안내, 국가보훈 취업지원 대상자 우대, 서류전형 이후 일정은 합격자에 한해 개별 안내",
엘에스이모빌리티솔루션,"전기장비 제조 (EV Relay, 산업용 Relay)","전기회로 개폐 및 보호장치 제조, EV 및 산업용 릴레이 생산","지원 자격: 관련 분야 경력자 우대, 전기/전자공학 전공자 우대","정규직, 근무지: 충북 청주시 흥덕구 백봉로 95",상시 채용,잡코리아를 통한 온라인 지원,"서류전형 결과는 1개월 이내 안내, 국가보훈 취업지원 대상자 우대, 서류전형 이후 일정은 합격자에 한해 개별 안내",
사이냅소프트,[2024년 신입·경력] 솔루션 사업본부,"솔루션 사업본부 내 다양한 프로젝트 수행, 고객사와의 커뮤니케이션 및 요구사항 분석, 솔루션 개발 및 유지보수","지원 자격: 신입 또는 경력, 학력 무관,우대 사항: AWS, JAVA, MySQL, Node.js, Python, React, Spring, TypeScript, Figma, C/C++ 등 관련 기술 스킬 보유자","정규직 (수습 3개월), 근무지: 서울시 강서구","시작일: 2024.11.27 (수), 마감일: 2024.12.04 (수)",홈페이지를 통한 온라인 지원,"서류전형 결과는 1개월 이내 안내, 국가보훈 취업지원 대상자 우대, 서류전형 이후 일정은 합격자에 한해 개별 안내",
포시즌스호텔서울,경영지원 각 부문 신입 및 경력,"케이터링 세일즈 컨퍼런스 서비스 매니저, 식음료부 세일즈 매니저, 웨딩 매니저, 세일즈 코디네이터 등 각 부문별 업무 수행","지원 자격: 신입 또는 경력, 학력 무관,우대 사항: 영어 가능자, 관련 학과 전공자, 유관 업무 경력자","정규직 (수습 3개월) 또는 계약직 (근무기간 2년, 정규직 전환 가능), 근무지: 서울시 종로구","시작일: 2024.11.20 (수), 마감일: 2025.01.19 (일)",잡코리아 이력서 양식을 통한 온라인 지원,"서류전형 결과는 1개월 이내 안내, 국가보훈 취업지원 대상자 우대, 서류전형 이후 일정은 합격자에 한해 개별 안내",
현대트랜시스,계약직 모집,상세 업무 내용은 공고에 미기재,"지원 자격: 경력 무관, 고졸 이상,우대 사항: 장애인, 운전 가능자, 유관 업무 경험자(인턴·알바), 보훈 대상자, 유관 업무 경력자, 지게차운전기능사 자격증 보유자","계약직, 급여: 회사 내규에 따름 (면접 후 결정), 근무지: 경기도 화성시","시작일: 2024.11.26 (화), 마감일: 2024.12.02 (월)",홈페이지를 통한 온라인 지원,"4대보험 가입: 국민연금, 건강보험, 고용보험, 산재보험",
LG생활건강,물류 운영 및 관리,"물류 전략 및 투자 계획 수립, 물류 기획 및 물류 Cost 합리화 활동, 입출고 관리, 주문 출하 계획 수립 및 작업 생산성 향상 활동, 물류 설비 및 IT 연동 입출하 시스템 운영 및 개선, 물류 환경, 안전, 품질 관리, 상하차/운송 협력사 지원","지원 자격: 2025년 2월 졸업 예정자 또는 학사 이상 학위 소지자, 2024년 11월~12월 실습에 Full-Time 참여 가능자, 해외 여행에 결격 사유가 없는 자, 남성의 경우 병역 필 또는 면제자, 우대 사항: 영어, 중국어, 일본어 활용 능력 Native 또는 Fluent한 자, 장애인 및 보훈 대상자 우대, 무역, 물류, 산업공학 관련 전공자 우대",,2024.09.25 16:00 ~ 2024.10.06 23:00,LG커리어스 홈페이지를 통한 온라인 접수,자세한 사항은 LG 채용 홈페이지에서 확인 필요,"1. 당사 및 해당 직무에 지원하는 동기에 대해 기술해주시기 바랍니다.

안녕하십니까. LG생활건강의 심장부라 할 수 있는 물류를 통해 사람들의 생활 전반의 편리함을 전달해주고 싶은 @@@입니다. 제가 처음 LG 생활 건강의 존재를 알게 된 것은, 몇 년 전 유튜브를 통해 LG 생활 건강의 세제 광고를 본 이후부터였습니다. 틀을 깨는 참신한 광고를 본 저는 이런 광고를 허락해주는 회사에서 꼭 한 번은 일해보고 싶다는 생각을 하게 되었고, 졸업할 시즌이 되던 차에 LG 생활 건강에서 신입 사원을 뽑는다는 공채를 본 이후로 바로 지원을 결심하게 되었습니다. 특히 제가 지원하는 물류는, 우리 생활 전반에 퍼져 있는 택배와도 밀접한 연관을 가지고 있습니다. 저 역시 다른 사람과 마찬가지로 오지 않는 택배를 목을 빼고 기다린 경험을 가지고 있는데, 제가 경험한 조바심을 다른 사람은 부디 겪지 않았으면 하는 마음가짐과, 당연히 해외, 그것도 물을 통한 물류 산업은 제 전공인 일본어문학전공을 살려 나의 역량을 마음껏 펼칠 수 있겠다는 마음가짐에 지원을 결심하였습니다.




2. 지원한 직무와 관련하여 자신의 강점이 무엇이며, 그러한 강점을 활용한 자신의 입사 후 포부를 기술해주시기 바랍니다.

앞서 서술하였듯 물류는 전세계에 존재하는 수많은 고객과 협력업체와의 약속이기 때문에, 다른 어떤 필드보다도 꼼꼼함과 집요함, 어학 능력을 필요로 한다고 생각합니다. 저는 삼성드림클래스에서 대학생 멘토로 저소득층 가정 출신 중학생들을 대상으로 2022년 7월부터 2024년 2월까지 약 1년 8개월 동안 학습 및 진로와 관련한 멘토링을 진행한 경험을 가지고 있습니다. 해당 활동에서 저는 매주 제가 맡은 10명의 아이들과 그 주에 언제 멘토링 가능 시간이 되는지 서로 조율하는 과정을 겪었고, 해당 주의 멘토링을 끝낸 이후 멘토링 과정과 그 다음주의 계획을 담고 있는 일지를 제출하는 활동을 하였습니다. 특히 아직 어린 중학생 친구들이였기 때문에 상호 간 약속한 시간에 멘토링에 참여하지 않는 노쇼가 특히 많았는데, 저는 멘토링에 참여하지 않는 학생들에게 집요하게 연락하고 저만의 비법을 통해 달래기도 하는 등 채찍과 당근을 통해 참석하지 않는 아이들을 멘토링에 참여하게 만들기도 하였습니다. 또한 대학에 입학한 후 전공인 일본어와 일본어문학을 공부하여 JLPT N1 자격증을 취득하면서도, 주위에 있는 뛰어난 학우분들을 보며 자극을 받아 어학을 포함하여 저만의 새로운 무기로 소프트웨어 기술을 새롭게 배우는 것에 도전했습니다. 입사 후에도 대학 생활의 경험을 바탕으로 제게 맡겨진 일에 최선을 다해, 최상의 결과를 만들어내기 위해 노력하겠습니다.




3. 지원 분야와 관련한 준비과정 또는 본인의 주요 성과(경력)를 사례 중심으로 기술해주시기 바랍니다.

시대가 변하며 물류 역시 수동에서 기술을 활용하는 분야로 탈바꿈하는 것으로 알고 있습니다. 저는 대학 생활 동안 인문 소프트웨어 융합전공을 통해 다방면에서 쓰일 수 있는 프로그래밍 언어인 C, PYTHON, JAVA와 같은 언어를 배운 경험을 가지고 있는데, 대학교 저학년 때부터 계속해서 공부한 만큼 새로운 기술을 재빠르게 제 것으로 만드는 데 익숙한 편입니다. 또한 물품을 전달하는 물류라고 해도, 결국 그 근간에는 명확하게 사람이 존재한다고 생각합니다. 특히 물류 업무와 같이 고강도의 업무에서는 같이 일하는 회사 구성원과 좋은 관계를 만드는 것이 가장 중요한 업무 중 하나라고 생각하는데, 저는 삼성드림클래스를 포함하여 외국인 유학생 및 장애 대학생을 대상으로 수많은 멘토링을 진행하며 사람과 커뮤니케이션은 어떻게 이루어져야 하는가에 대해 고민하고, 저만의 방법을 찾은 경험을 가지고 있습니다. 이러한 경험을 쌓은 저는, LG 생활 건강 물류 업무를 능숙하게 해낼 수 있으리라 생각합니다




대학생 대외활동 공모전 채용 사이트 링커리어 https://linkareer.com/"
