기업명,채용 직무/분야,주요 업무,지원 자격 및 우대사항,근무 조건,모집 기간,지원 방법,기타 사항,합격자소서
파괴연구소,"광고/마케팅 부문 (크리에이티브 디렉터, 아트디렉터, 카피라이터, 광고기획 AE, 콘텐츠마케터)","광고 및 마케팅 관련 기획, 디자인, 카피라이팅 등","지원 자격: 신입·경력 (2년 이상), 학력 무관,우대 사항: 유관 업무 경력자","정규직 (수습 3개월), 인턴 (근무기간 6개월, 정규직 전환 가능), 근무지: 서울시 강남구, 주 5일 (월","시작일: 2024.11.22 (금), 마감일: 2024.12.04 (수)",잡코리아 이력서 양식을 통한 온라인 지원,"4대보험 가입: 국민연금, 건강보험, 고용보험, 산재보험, 서류전형 결과는 1개월 이내 안내, 국가보훈 취업지원 대상자 우대, 서류전형 이후 일정은 합격자에 한해 개별 안내",
스타쉽엔터테인먼트,마케팅팀 신입/경력 채용,"마케팅 전략 수립 및 실행, 콘텐츠 기획 및 운영, 시장 조사 및 분석 등","지원 자격: 신입·경력 무관, 초대졸 이상,우대 사항: 관련 전공자, 유관 업무 경험자, 외국어 능통자","정규직 (수습 3개월), 근무지: 서울시 강남구, 주 5일 (월","시작일: 2024.11.25 (월), 마감일: 2024.12.31 (화)",홈페이지를 통한 온라인 지원,"4대보험 가입: 국민연금, 건강보험, 고용보험, 산재보험, 서류전형 결과는 1개월 이내 안내, 국가보훈 취업지원 대상자 우대, 서류전형 이후 일정은 합격자에 한해 개별 안내",
기획사이다,"광고 기획자, 분석가",광고 기획 및 분석 업무 수행,"지원 자격: 경력 무관, 학력 무관,우대 사항: 포트폴리오 첨부 희망","정규직 (수습 3개월), 연봉 3,600만 원 이상, 근무지: 인천 연수구, 인천 전지역, 계양구, 미추홀구, 남동구, 서구, 중구, 경기도 부천시, 시흥시, 경기 전지역, 서울 마포구, 서울 전지역, 주 5일 (월","시작일: 2024.11.27 (수), 마감일: 2024.12.27 (금)",잡코리아 이력서 양식을 통한 온라인 지원,"4대보험 가입: 국민연금, 건강보험, 고용보험, 산재보험, 서류전형 결과는 1개월 이내 안내, 국가보훈 취업지원 대상자 우대, 서류전형 이후 일정은 합격자에 한해 개별 안내",
아모레퍼시픽,디지털 마케팅 콘텐츠 제작,,"지원 자격: 학력/경력: 무관, 비주얼, 영상 콘텐츠 제작 가능 (포토샵, 일러스트레이터, 프리미어 프로 3개 활용 가능), 의사소통 원활하며 빠른 속도의 업무 진행 가능, 최소 3개월 이상 근무 가능, 최종 발표 후 출근 가능, 우대사항: SNS 채널 운영 경험(인스타그램 릴스, 유튜브 쇼츠 등), 사진/영상 전문가, 트렌드에 민감하고 코스메틱 관심자, 포트폴리오 제출 필수 (PDF 파일로 제출 권장)",최소 3개월 이상,"시작일: 2024.11.22 (금), 마감일: 2024.12.08 (일)",잡코리아 이력서 양식을 통한 온라인 지원,"4대보험 가입: 국민연금, 건강보험, 고용보험, 산재보험","1. 본인에 대해 자유롭게 기술해 주십시오

[아름다움을 사랑하는 프로경험러입니다]
아모레퍼시픽은 업계 선두에 안주하지 않고 민감한 화장품 트렌드에 빠르게 대응하며, 뉴커머스 소셜셀러 A-ditor를 제공함으로써 고객 가치를 확대하고 있습니다. 저는 ‘나’ 자신을 건강하고 아름답게 만들어줄 수 있는 코스메틱의 높은 관심도를 바탕으로 국내외 다양한 뷰티 제품과 브랜드를 접해왔습니다. 소비자에게 건강한 아름다움을 다양한 방식으로 제공할 수 있는 아모레퍼시픽의 A-ditor 프로그램과 콘텐츠를 기획함으로써 함께 성장하고자 지원하게 되었습니다.

[저의 업무 원동력은 성취감입니다]
알랭 드 보통의 <일의 기쁨과 슬픔>에서는 ‘일이 의미 있게 느껴지는 것은 다른 사람의 기쁨을 자아내거나 고통을 줄여줄 때’라고 합니다. 저는 스타트업 콘텐츠팀 인턴과 개인브랜드 운영 경험을 통해 업무를 지속하는 것에 있어서 ‘성취감’이 가장 중요하다는 것을 알게 되었습니다. 브랜드를 운영하며 친환경의 가치를 추구하는 제품을 기획하며 고객으로부터 가치소비를 지속할 수 있었다는 후기를 받았고, 인턴으로 근무하면서는 인스타툰, 카드뉴스 등의 정보성 콘텐츠를 제작하며 일상에서 도움이 되었다는 사용자 후기를 받으며 업무의 원동력인 보람과 성취감을 느낄 수 있었습니다. 1인 브랜드 운영자였던 만큼 트렌드 분석, 소셜 미디어 채널 운영 및 콘텐츠 기획 등 브랜드의 A-Z를 직접 겪었던 경험을 바탕으로, 트렌드와 인사이트를 도출하고 소셜미디어 콘텐츠를 제작하며 소셜셀러 가치를 극대화하겠습니다.





2. 직무기술서 (주요수행업무 및 수행기간을 중심으로 상세히 기술해 주십시오)

콘텐츠팀 인턴으로 근무하며 신규 사업체의 SNS 콘텐츠를 제작했던 경험이 있습니다. 브랜드 인지도 및 인게이지먼트 향상을 목표로 주 타깃 커뮤니티를 조사하고 인사이트를 도출하여 팀원들과 월별운영안을 작성했습니다. 도출한 데이터를 바탕으로 정보성 카드뉴스 및 인스타공감툰 등의 SNS 콘텐츠를 제작했습니다.
인턴십 종료 후에는 직접 촬영한 사진을 기반으로 하는 브랜드 론칭에 도전했습니다. 온/오프라인 시장조사 결과 65개의 문구 브랜드 중 51곳이 모든 상품에 OPP 비닐 포장재를 사용하고 있다는 점과, 카페 및 커뮤니티 후기를 통해 사용자들이 비닐 포장에 불편함을 느낀다는 점을 알게 되었습니다. 그리하여 평소에도 관심이 많았던 제로웨이스트를 브랜드 가치관으로 정립하여 기존 문구 브랜드와는 다른 차별점을 두었습니다. 또한, 자사 몰과 입점처 매출내역을 기반으로 상권/시즌별 및 키워드/시간대별 유입 데이터 등을 분석하여 총 78개의 제품 제작과 이벤트를 기획함으로써 전년 대비 210% 매출을 신장할 수 있었습니다. 이러한 데이터 분석 기반 기획력을 바탕으로 인사이트를 도출하고 가치를 극대화할 수 있는 프로그램을 기획하겠습니다.



대학생 대외활동 공모전 채용 사이트 링커리어 https://linkareer.com/"
